id,Date,Height,Size,Periods,Object Number,Discribtion,Element,type,URL
16,late 17th–early 18th century,,H. with cover: 10 1/4 in. (26 cm),,"14.40.313a, b",Porcelain painted in underglaze cobalt blue (Jingdezhen ware),,Ceramics,https://images.metmuseum.org/CRDImages/as/original/172457.jpg
17,"Qing dynasty (1644–1911), Daoguang mark and period (1821–50) / China",,Diam. 5 7/8 in. (14.9 cm),,79.2.659,"Porcelain painted in underglaze blue and overglaze  enamels, with engraved decoration",,Ceramics,https://images.metmuseum.org/CRDImages/as/original/28571.jpg
18,second half of the 15th century,,H. 13 5/8 in. (34.6 cm); Diam. 7 7/8 in. (20 cm); Diam. of rim: 2 1/2 in. (6.4 cm); Diam. of base: 5 in. (12.7 cm),,2010.312,Porcelain painted with cobalt blue under transparent glaze (Jingdezhen ware),,Ceramics,https://images.metmuseum.org/CRDImages/as/original/DP251191.jpg
19,early 19th century,,H. 7 in. (17.8 cm); W. 4 3/8 in. (11.1 cm); D. 3 in. (7.6 cm),,79.2.400,Porcelain painted in underglaze cobalt blue (Jingdezhen ware),,Ceramics,https://images.metmuseum.org/CRDImages/as/original/28237.jpg
20,19th century,,H. 3 1/8 in. (7.9 cm),,"38.50.126a, b",Porcelain painted with underglaze cobalt blue and overglaze black enamel (Jingdezhen ware),,Ceramics,https://images.metmuseum.org/CRDImages/as/original/116483.jpg
21,"Ming dynasty (1368–1644), Chongzhen period (1627–44) / China",,H. 4 in. (10.2 cm); Diam. 18 5/8 in. (47.3 cm); Diam. of foot 10 1/2 in. (26.7 cm),,2016.487,Porcelain painted with cobalt blue under a transparent glaze (Jingdezhen kraak ware),,Ceramics,https://images.metmuseum.org/CRDImages/as/original/DP-12231-014.jpg
22,"Qing dynasty (1644–1911), Qianlong mark and period (1736–95) / China",,H. 14 7/8 in. (37.8 cm),,79.2.469,Porcelain painted in underglaze blue,,Ceramics,https://images.metmuseum.org/CRDImages/as/original/28191.jpg
23,late 17th–early 18th century,,H. 8 1/4 in. (21 cm),,79.2.238,"Porcelain with brown and light green glaze, and painted in underglaze cobalt blue  (Jingdezhen ware)",,Ceramics,https://images.metmuseum.org/CRDImages/as/original/28010.jpg
24,late 18th century,,H. 2 3/4 in. (7 cm); Diam. 7 in. (17.8 cm),,79.2.820,Porcelain painted in underglaze cobalt blue and overglaze polychrome enamels (Jingdezhen ware),,Ceramics,https://images.metmuseum.org/CRDImages/as/original/29209.jpg
25,early 19th century,,H. 2 1/4 in. (5.7 cm); Diam. 5 3/4 in. (14.6 cm),,79.2.461,Porcelain painted in underglaze cobalt blue (Jingdezhen ware),,Ceramics,https://images.metmuseum.org/CRDImages/as/original/28354.jpg
26,"Ming dynasty (1368–1644), Tianqi period (1620–27) / China",,H. 2 1/16 in. (5.2 cm); Diam. 6 in. (15.2 cm); Diam. of foot 2 3/8 in. (6 cm),,2015.27,Porcelain painted with cobalt blue under a transparent glaze (Jingdezhen ware),,Ceramics,https://images.metmuseum.org/CRDImages/as/original/DP702960.jpg
27,dated 1755,,H. 2 3/8 in. (6 cm); Diam. 13 3/4 in. (34.9 cm); Diam. (foot) 8 7/8 in. (22.5 cm),,2002.447.107,Underglaze blue,,Ceramics,https://images.metmuseum.org/CRDImages/as/original/DP102600.jpg
28,1540-1600,25.50 centimetres,Height: 25.50 centimetres,Ming Dynasty,Franks.1006.a,"Porcelain bottle with underglaze blue decoration. This bottle is pear-shaped with a recessed base and a long thin neck. It is painted in vivid blue cobalt with three comical lion-dogs chasing beribboned balls, bordered at the top with white lappets on a blue ground and at the base by three flower scrolls. A good luck wish is recorded on the base in four characters surrounded by a double ring. It reads 'Wan fu you tong' [May ten thousand blessings gather together].","lion dog, fruit",bottle,https://media.britishmuseum.org/media/Repository/Documents/2014_10/4_22/246ed846_2a0c_4cde_9257_a3ba016d286a/mid_00267196_001.jpg
29,1573-1620,Height: 33.80 centimetres,Diameter: 17 centimetresHeight: 33.80 centimetres,Ming Dynasty,Franks.133,"Hexagonal porcelain bottle with underglaze blue decoration. This bottle is pear-shaped with six sides and a hexagonal foot and was probably modelled on a metal-work prototype. Each face is painted in a vivid cobalt blue with a bracket-lobed cartouche enclosing a fabulous beast. These are, clockwise: a horse, lion, leopard, 'qilin' with spots, 'qilin' with scales, and another 'qilin' with spots. The remainder of the body is covered with an inverted-Y diaper pattern in white on a blue ground, with a border of 'ruyi' heads above and formal ornament below. The neck is decorated with feather panels and plantain leaves, the foot with key-fret. On the base is a square seal mark with four characters 富 贵 佳 器 'Fu gui jia qi' [Fine vessel for the rich and honourable].View lessabout description","mythical figure/creature,kirin,fruit

",bottle,https://media.britishmuseum.org/media/Repository/Documents/2014_10/4_21/c641ecb5_e885_40b2_9e49_a3ba0168c4bd/mid_00265991_001.jpg
30,1573-1620,Height: 22 centimetres,Height: 22 centimetres,Ming Dynasty,"19,361,012.24","Porcelain bottle with underglaze blue decoration. This flask has a compressed globular body, a tall cylindrical neck with a rolled lip and a low tapering foot. It is sketchily painted in pale grey-blue cobalt beneath the glaze in four registers. The main section shows three different birds; these scenes are bordered either side by cash diaper and around the neck are squirrels in a grape vine. On the base is an apocryphal Xuande reign mark.","mammal,bird,fruit

",bottle,https://media.britishmuseum.org/media/Repository/Documents/2014_10/4_22/4826923d_5825_4dad_9660_a3ba016d229a/mid_00267194_001.jpg
31,1800-1900,Height: 111 millimetres,Height: 111 millimetres,Qing Dynasty,"PDF,C.629","Small bottle of meiping form. Underglaze blue with three bands of individual figurative scenes illustrating conversations, romances, communing with ghosts, etc. Overlapping cloud forms around the shoulder. There is an inscription on the base.",figure scenes,bottle,https://media.britishmuseum.org/media/Repository/Documents/2014_10/6_6/c6f14d1a_46dd_45e1_9c47_a3bc006d046d/mid_00390545_001.jpg
32,1700-1800,Height: 118 millimetres,Height: 118 millimetres,Qing Dynasty,PDF.643,"Porcelain cylindrical bottle with sloping shoulders and narrow neck that widens to the mouth. The bottle is made of 'soft paste' porcelain (hua shi). There are lotus and floral scrolls in underglaze blue on the body, lappets on the shoulders and a scroll border round the neck. There is a mark on the base.",flower,bottle,https://media.britishmuseum.org/media/Repository/Documents/2014_10/5_21/f90a20f3_22ee_466d_88a5_a3bb0168325a/mid_00381041_001.jpg
33,1403-1424,Height: 335 millimetres,"Diameter: 186 millimetres,Height: 335 millimetres",Ming Dynasty,"PDF,A.614","Porcelain bottle of yuhuchun ping form with flaring mouth rim. Underglaze blue with two song birds on a flowering prunus branch. Bands of scrolling flowers and scrolls on neck. Ruyi heads just below mouth rim, squared spirals on the foot and plantain leaves rising from the base.",bird,bottle,https://media.britishmuseum.org/media/Repository/Documents/2014_10/8_15/da074af8_1046_4ba9_adb3_a3be01070456/mid_00442847_001.jpg
34,1522-1566,Height: 55 centimetres,Diameter: 31 centimetres (maximum)Height: 55 centimetresWeight: 10 kilograms,Ming Dynasty,Franks.1672,"Large double gourd-shaped porcelain bottle with underglaze blue decoration. Heavily potted, this large gourd-shaped bottle has a tubular neck and a large lower and smaller upper bulb; it stands on a splayed foot. Its base is gritty, glazed and marked with a six-character underglaze blue Jiajing reign mark. Bright blue cobalt, characteristic of the second half of the Jiajing emperor's reign, is used to depict figures in land- and seascapes. Painted around the lower bulb are popular deities and devotees processing with gifts for a bearded Daoist or popular god. He is shown seated on a rock throne beneath a spreading pine tree, accompanied by an auspicious crane. The scene may be an amalgamation of the Eight Daoist Immortals bearing tribute to Shoulao and that of other legends surrounding favoured gods. The main figure, possibly Shoulao, glances to his left to see the benevolent popular deity Liu Hai and his tame three-legged toad dancing wildly. Liu Hai is generally depicted as here as an untrammelled figure, carelessly wearing an open robe which exposes his pot belly. He often has a tonsured haircut and carries a gourd filled with a magic potion - here it is tied to his waist. Behind him comes a man carrying a giant peach. Such peaches were grown by Xi Wang Mu [Queen Mother of the West] in her enchanted gardens in the Kunlun mountains. As her orchards bore fruits only once in a millennium, eating such produce conferred immortality. Next is an official carrying a large ovoid vase from which gush three characters - possibly the name of a magic elixir. Behind him another man bears a giant peach. Then comes an immortal pursuing a small dog, possibly Erlang who rids the world of demons and rides a dog. He is grouped together with Han Xiangzi, one of the Eight Immortals, identified by his flute. The dog runs towards Zhang Guolao, another of the Eight Immortals, shown with his bamboo drum and two sticks. A dog running towards someone is an emblem of forthcoming riches. A third of the Eight Immortals, Cao Guojiu, wearing court dress and holding his castanets, is portrayed flanked between two immortals carrying more peaches. Next comes an immortal between a deer and a crane, holding a gourd. Lastly two figures hold a basket of peaches and a hand scroll with a yin-yang symbol respectively. The landscape is festooned with auspicious plants such a pine and lingzhi. In the upper bulb two figures are shown on land and three at sea. On land beneath a pine tree is a man with a long staff and another with a pen and scroll. At sea one immortal rides the waves on a leaf, another crosses the waves on a wart-backed toad and another appears to ride the waves unassisted. Around the neck and waist of the gourd is a band of lingzhi scroll with lappets at the shoulder. Feathery plantain leaves further decorate the waist and there is an unusual leaf pattern below. The foot is decorated with four cartouches containing flowering and fruiting plants surrounded by a diaper pattern with a coin, rhombus, coral and rhinoceros horn. Above this is a band of stylized leaves, outlined in blue.","immortal,landscape,deity,devotee/worshipper",bottle,https://media.britishmuseum.org/media/Repository/Documents/2014_10/4_20/e1fdac8f_0d66_4202_bdcb_a3ba0159e97d/mid_00262142_001.jpg
35,1540-1600,Height: 34.40 centimetres,Diameter: 14 centimetres (maximum)Height: 34.40 centimetres,Ming Dynasty,Franks.348.+,"Porcelain 'sheng' bottle with underglaze blue decoration. This 'sheng' has a plump pear-shaped upper section, narrow waist, square lower section which tapers towards the foot and a square recessed base. Each side of the lower section is painted with two of the Eight Daoist Immortals in a landscape setting. Clockwise these are: Lan Caihe, carrying a basket of flowers, and Han Xiangzi who can make flowers grow instantly; in the second panel Li Tieguai, the popular god of financial acumen, holding a gourd from which a magic vapour escapes, and Zhongli Quan who has the power to resurrect the dead through his possession of the elixir of life; in the third panel He Xiangu, seen holding a lotus, and Lii Dongbin, depicted with his magic sword strapped to his back; and in the final panel Zhang Guolao, carrying a 'yugu', a musical instrument comprising a cylindrical bamboo drum and two crutch-shaped drum sticks, and Cao Guojiu brandishing castanets. On the corners at the shoulder are 'ruyi' cloud motifs. Around the waist of the sheng vase are six different individual flower sprays.","landscape,immortal",bottle,https://media.britishmuseum.org/media/Repository/Documents/2014_10/4_21/831a3f7c_46fe_49b2_bc0f_a3ba01641638/mid_00264778_001.jpg
36,1403-1425,Height: 340 millimetres,Height: 340 millimetres,Ming Dynasty,PDF.601,"Porcelain bottle vase of yuhuchun form, with a pear-shaped body, narrow neck and flaring mouth rim. There is a band of lingzhi fungi in underglaze blue below the mouth rim, plantain leaves and lotus flowers in underglaze blue on the neck, and lily plants with a butterfly in underglaze blue on the body. The base is glazed.",flower,bottle,https://media.britishmuseum.org/media/Repository/Documents/2014_10/8_15/2700d00f_2b63_4ad7_bd13_a3be0106fdd4/mid_00442845_001.jpg
37,1700-1900,-1,Diameter: 4 inches,Qing Dynasty,"19,390,712.30",Bowl. Made of cobalt decorated porcelain.,,bowl,https://media.britishmuseum.org/media/Repository/Documents/2019_5/22_15/65be57e3_96db_4efb_9f0e_aa5500fdb447/mid_IMG_7932.jpg
第四页,,,,,,,,,
38,1567-1572,Height: 77 millimetres,Diameter: 124 millimetres,Ming dynasty,"PDF,A.656",Small covered porcelain box. Seven rounded lobes with star-shaped top and foot. Underglaze blue with dual fruit and flower sprays. Narrow band of classic scrolls above and below central junction. Frontal five-clawed dragon amid clouds on top. There is an inscription on the base.,Lobed box with dragon,bowl,https://media.britishmuseum.org/media/Repository/Documents/2014_10/5_22/8427ba34_5605_4046_a173_a3bb017aa6fa/mid_00387176_001.jpg
,1573-1620,Height: 30 millimetres,Diameter: 43 millimetres,Ming dynasty,"PDF,A.680",Small round covered porcelain box. Underglaze blue with two dragons and flaming pearls around sides of lid and lower half of porcelain box. Dragon in a double circle on the top. There is an inscription on the base. The box contains solid red ink for marking seals.,,box,https://media.britishmuseum.org/media/Repository/Documents/2014_10/5_23/7f037825_f7c2_4fed_9a04_a3bb017b30f2/mid_00387339_001.jpg
,18thC,Height: 40 millimetres,Diameter: 70 millimetres,Qing dynasty,"PDF,A.695",Small circular porcelain box. Underglaze blue with scholar leaning against a pine tree in a garden landscape with pagoda above a band of five-clawed dragons chasing a flaming pearl. Turbulent waves on lower sides. There is an inscription on the base.,,box,https://media.britishmuseum.org/media/Repository/Documents/2014_10/5_23/4395309a_5046_45cf_9f9d_a3bb017b1088/mid_00387372_001.jpg
,1662-1722,Height: 145 millimetres,Diameter: 228 millimetres,Qing dynasty,"PDF,B.632",Round covered porcelain porcelain box. Underglaze blue in pencilled style with large flower composed of overlapping cloud collars and ruyi heads on cover. Overlapping cloud collars on lower section. There is an inscription on the base.,,box,https://media.britishmuseum.org/media/Repository/Documents/2014_10/6_6/129a7e71_f8cb_4313_a920_a3bc00683cc0/mid_00389136_001.jpg
,18thC,Height: 57 millimetres,Diameter: 126 millimetres,Qing dynasty,"PDF,C.609","Round covered box of hua shi porcelain. Underglaze blue with scene of Dragon Boat Festival on the cover with spectators in a pavilion, a pagoda and pine trees. Watery landscape on lower half with figures walking or crossing a bridge.",,box,https://media.britishmuseum.org/media/Repository/Documents/2014_10/6_6/f453342b_431e_40eb_948e_a3bc006c6641/mid_00390417_001.jpg
,15thC(early),Height: 97 millimetres,Diameter: 196 millimetres,Ming dynasty,"PDF,B.668",Round porcelain porcelain box. Underglaze blue on top with the Eight Buddhist emblems on lotus flowers scrolling around a centralised stylised flower head composed of a Buddhist wheel circled by lotus petals. Similar scrolling emblems on plinths around the sides. Bands of detached flower heads around edges of top and bottom half.,,box,https://media.britishmuseum.org/media/Repository/Documents/2014_10/6_6/3e9b719a_53dc_4d73_b23c_a3bc0069c70f/mid_00389558_001.jpg
,1661 (dated),Height: 91 millimetres,Diameter: 92 millimetres,Qing dynasty,"PDF,B.657",Cylindrical porcelain brush-pot. Underglaze blue in pencilled style with scene showing figures and horse in a landscape. A gentleman holding a branch speaks to a courier; another attendant waits with luggage by the horse. Long poetic inscription above rocks. Rim painted dark brown. There is another inscription on the base.,,brush-pot,https://media.britishmuseum.org/media/Repository/Documents/2014_10/6_6/8b27ec76_6882_4cc1_bff0_a3bc0069826a/mid_00389526_001.jpg
,16thC,Height: 80 millimetres,Width: 172 millimetresDepth: 35 millimetres,Ming dynasty,"PDF,B.642","Porcelain brush-rest in the form of a series of peaked mountains on semi-circular base. Underglaze blue with naturalistically defined individual peaks and an applied relief scene at the back of a man trapped on a rock in rough sea, being rescued by two men in a boat.",,brush-rest,https://media.britishmuseum.org/media/Repository/Documents/2014_10/6_6/f72713ca_c58b_4923_9a56_a3bc0069bcbb/mid_00389502_001.jpg
,1506-1521,,Width: 197 millimetres,Ming dynastyZhengde,"PDF,A.642",Porcelain brush-rest in form of five-peaked mountain. Underglaze blue with dense classic scrolls and a single roundel with Arabic inscription on each side. There is an inscription on the base.,,brush-rest,https://media.britishmuseum.org/media/Repository/Documents/2014_10/5_22/bcd38f0b_a332_489a_9217_a3bb017a2b16/mid_00387148_001.jpg
,18thC,Height: 4.50 centimetres,Diameter: 7.62 centimetres,Qing dynasty,Franks.1003,"Cup with cranes, clouds and Daoist symbols design. Made of porcelain with underglaze cobalt blue. Mark.",,cup,https://media.britishmuseum.org/media/Repository/Documents/2016_5/31_15/0884d667_2389_41e7_a6b6_a6170102df7e/mid_Franks_1003__1_.jpg
,1662-1722,Height: 40 millimetres,Diameter: 79 millimetres,Qing dynastyKangxi,PDF.636,"Porcelain wine-cup with rounded sides, flared rim and two stylised dragon handles. There are two roundels containing dragons among clouds in underglaze cobalt blue on the exterior. There is a mark on the base.",,cup,https://media.britishmuseum.org/media/Repository/Documents/2014_10/5_21/c1eb5681_950c_43f7_b076_a3bb01651b4e/mid_00380220_001.jpg
,1662-1722,Height: 20 millimetres,Diameter: 116 millimetres,Qing dynastyKangxi,"PDF,C.631",Porcelain cup-stand. There is a band of scrolling lotus flowers and leaves in underglaze blue around the central recess. There is an inscription on the base.,,cup-stand,https://media.britishmuseum.org/media/Repository/Documents/2014_10/6_6/26868f2c_0b80_48ac_9552_a3bc006d0a91/mid_00390548_001.jpg
,18thC,Height: 65 millimetres,Diameter: 71 millimetres,Qing dynasty,"PDF,C.624",Porcelain cup. Underglaze blue with figurative scene of a man carrying a child while riding a pony and followed by an attendant with luggage. Vertical inscription on one side and inscription on base. Pair with C623.,,cup,https://media.britishmuseum.org/media/Repository/Documents/2014_10/6_6/2caee4b3_6520_497c_b964_a3bc006ce1a7/mid_00390528_001.jpg
,18thC,Height: 66 millimetres,Diameter: 72 millimetres,Qing dynasty,"PDF,C.623",Porcelain cup. Underglaze blue with figurative scene of a man carrying a child while riding a pony and followed by an attendant with luggage. Vertical inscription on one side and inscription on base. Pair with C624.,,cup,https://media.britishmuseum.org/media/Repository/Documents/2014_10/6_6/2caee4b3_6520_497c_b964_a3bc006ce1a7/mid_00390528_001.jpg
,1690-1722,Height: 41 millimetres,Diameter: 64 millimetres,Qing dynastyKangxi,PDF.646,"Porcelain cup with high sides, flared rim and straight foot. There is a scene of the demolition of Rotterdam during riots in 1690 and a panel containing a cabbage plant in underglaze cobalt blue on exterior, and a man's head draped on a square plinth on centre of interior, below a narrow band of chevrons round the rim. There is a mark on the base. A set with saucer PDF 647.",,cup,https://media.britishmuseum.org/media/Repository/Documents/2014_10/5_22/1e45fead_1e61_4d8b_9f63_a3bb016b6ece/mid_00382193_001.jpg
,1662-1722,Height: 52 millimetres,Diameter: 90 millimetres,Qing dynastyKangxi,"PDF,B.648","Small porcelain cup. Underglaze blue with seascape featuring a European galleon, a mermaid playing a violin, rocks, clouds, a building and waves. Band of French inscription around rim. Inside in the centre is a flower head with flying birds in double circle, and scrolling leaves and birds at the rim. There is an inscription on the base.",,cup,https://media.britishmuseum.org/media/Repository/Documents/2014_10/6_6/dae9ae7a_9d72_472d_8028_a3bc00696899/mid_00389512_001.jpg
,1426-1435,Height: 9.20 centimetres,Diameter: 9.80 centimetres,Ming dynastyXuande,"19,540,420.70","Porcelain stem cup with reserved and underglaze blue decoration. This delicately potted stem cup has rounded sides, an everted rim and a spreading stem with flat unglazed base. Inside in the centre it is inscribed in underglaze blue with a six-character Xuande reign mark in a double ring. Outside five powerful sinewy dragons are reserved in white with incised…",,cup,https://media.britishmuseum.org/media/Repository/Documents/2014_11/12_21/6eabd05d_3150_4310_a201_a3e1015f82f3/mid_00133238_001.jpg
,1573-1620,,Diameter: 82 millimetres,Ming dynastyWanli,PDF.603,"Porcelain cup with a lobed mouth rim, three small feet and a handle of lingzhi shape. There is a floral scroll in underglaze blue on the exterior and a lingzhi shaped flower head in underglaze blue in the centre of the interior.",,cup,https://media.britishmuseum.org/media/Repository/Documents/2014_10/5_21/db1bcf36_0267_40dd_95c6_a3bb0164a871/mid_00380070_001.jpg
,1662-1722,,Diameter: 62 millimetres,Qing dynastyKangxi,PDF.660,"Pair of porcelain cups with tall sides and slightly everted mouth rim.
Cup 'a' has a scene from the 'West Chamber' (Xixiang Ji) of Cui Yingying seeing off Scholar Zhang with a maid serving wine in a garden landscape in underglaze cobalt blue on the exterior. There is an inscription on the base.
Cup 'b' has a scene from the 'West Chamber' (Xixiang Ji) of Scholar Zhang glimpsing Cui Yingying, and the monk Facong telling Zhang who she is, all in a garden landscape in underglaze cobalt blue on the exterior. There is an inscription on the base.",,cup,https://media.britishmuseum.org/media/Repository/Documents/2014_10/5_22/8f3e0887_deb9_4dfa_8de7_a3bb016bcf70/mid_00382238_001.jpg
第五页,,,,,,,,,
,1403-1424,Height: 72 millimetres,Diameter: 375 millimetres Height: 72 millimetres,Ming dynasty,PDF.685,"Porcelain dish with flat mouth rim. There is a band of waves in underglaze cobalt blue on the rim, scrolling flowers and leaves in the cavetto and three bunches of grapes, vines and leaves in the centre.","flowers, grapes",dish,https://media.britishmuseum.org/media/Repository/Documents/2014_10/5_22/63ddddb8_b5ae_4246_b762_a3bb016bf21e/mid_00382356_001.jpg
,1573-1620,Height: 38 millimetres,Diameter: 181 millimetres Height: 38 millimetres,Ming dynasty,PDF.663,"Porcelain dish with rounded sides and wide rim. There is a roundel of two fish among waterweeds in underglaze cobalt blue in the centre, and fish among waterweeds on the exterior. There is an inscription on the base.","fish, coin-style",dish,https://media.britishmuseum.org/media/Repository/Documents/2014_10/5_22/c3c84203_6ba1_4dbd_a6ae_a3bb016bd912/mid_00382243_001.jpg
,1522-1566,Height: 34 millimetres,Diameter: 157 millimetres Height: 34 millimetres,Ming dynasty,PDF.621,"Porcelain dish with rounded sides and everted mouth rim. There are scrolling peaches and leaves in reserve against cobalt blue background on the exterior, and a peach tree, whose trunk has been shaped into the character for long life, with two lingzhi fungi at its base in reserve against cobalt blue background on the interior. There is a mark on the base.",longevity,dish,https://media.britishmuseum.org/media/Repository/Documents/2014_10/5_21/adaba422_ba36_4843_81dc_a3bb016533c4/mid_00380133_001.jpg
,1573-1620,Height: 31 millimetres,Diameter: 174 millimetres Height: 31 millimetres,Ming dynasty,PDF.664,"Porcelain dish with low sides and everted mouth rim. There is a roundel of the 'Three Friends of Winter' (pine, plum and bamboo) in underglaze cobalt blue in the centre, a band of trellis patterns around the rim, and scrolling lotus flowers and a lappet band on the exterior. There is a mark on the base.","pine, bamboo, prunus",dish,https://media.britishmuseum.org/media/Repository/Documents/2014_10/5_22/7a47f9c5_8ff8_4d8a_a526_a3bb016bdf08/mid_00382246_001.jpg
,1573-1620,Height: 54 millimetres,Diameter: 314 millimetres Height: 54 millimetres,Ming dynasty,PDF.697,"Porcelain dish with rounded sides. There are children playing on terrace in underglaze cobalt blue in the centre of the interior, a band of a lotus pond around the top of the interior, and a band of overlapping ruyi heads on the exterior. There is a mark on the base.",boys,dish,https://media.britishmuseum.org/media/Repository/Documents/2014_10/5_22/cfae6ec0_d9f3_44c8_8e4c_a3bb016c5d52/mid_00382406_001.jpg
,1320-1350,Height: 20 millimetres,Diameter: 161 millimetres Height: 20 millimetres,Yuan dynasty,"PDF,B.684",Porcelain dish with eight-lobed rim in form of a flower. Underglaze blue with three large scale scrolling lotus flowers and leaves in centre. Classic scroll elements in each lobe. Unglazed base.,lotus,dish,https://media.britishmuseum.org/media/Repository/Documents/2014_10/6_6/ef68892e_2f68_4435_83fc_a3bc0069ce30/mid_00389610_001.jpg
,1465-1487,Height: 39 millimetres,Diameter: 165 millimetres Height: 39 millimetres,Ming dynasty,PDF.629,Porcelain dish with rounded sides and a slightly everted rim. There are two five-clawed dragons pursuing flaming pearls amid clouds in underglaze blue on the exterior. There is a mark on the base.,dragons,dish,https://media.britishmuseum.org/media/Repository/Documents/2014_10/5_21/fd73fbfb_48ce_4aae_953b_a3bb01653721/mid_00380189_001.jpg
,1403-1424,Height: 62 millimetres,Diameter: 343 millimetres Height: 62 millimetres,Ming dynasty,"PDF,A.600",Large porcelain dish. Underglaze blue with scrolling flower heads inside and outside. Unglazed base.,flower ,dish,https://media.britishmuseum.org/media/Repository/Documents/2014_10/5_22/1c27c09b_9af1_4249_a741_a3bb017a1247/mid_00387086_001.jpg
,1573-1620,Height: 31 millimetres,Height: 31 millimetres Width: 74 millimetres,Ming dynasty,"PDF,A,652",Rectangular porcelain dish. Underglaze blue with four panels of fruiting peach sprays outside and panels of flower sprays inside. Panel with two flowers and leaves in the centre. There is an inscription on the base.,peach,dish,https://media.britishmuseum.org/media/Repository/Documents/2014_10/5_22/453c63a5_c3a7_497a_8d9e_a3bb017a962d/mid_00387166_001.jpg
